Diamtrs,Laiks3,Laiks2,Laiks1
1.053,44.14,36.64,31.5
2.672,50.7,24.64,52.67
1.076,28.15,47.12,0.2
1.943,8.74,7.83,53.11
0.685,35.38,46.87,8.53
0.95,15.07,25.23,52.78
0.082,47.0,12.59,5.34
0.765,9.35,50.27,2.78
2.894,16.65,53.7,46.28
0.849,39.3,31.58,41.46
2.999,48.07,51.18,53.55
0.982,57.53,23.83,32.86
2.563,43.93,13.71,2.46
0.733,12.81,24.11,41.38
1.091,55.5,49.06,31.28
2.646,30.67,15.15,56.77
1.71,44.42,33.74,36.19
1.615,19.18,53.69,44.63
0.857,18.85,29.05,21.41
1.065,22.88,30.87,7.99
1.844,42.29,0.86,59.46
1.07,15.39,1.51,24.64
2.781,17.56,4.01,19.07
2.804,26.63,22.25,20.4
0.568,1.53,38.33,53.06
0.017,21.88,57.82,56.15
0.267,51.66,3.54,49.25
1.14,31.74,44.84,44.75
2.975,54.41,0.23,35.94
2.666,14.5,8.76,32.98
1.374,3.41,7.59,33.21
1.68,37.86,58.71,46.33
0.466,34.84,56.05,46.37
0.775,48.67,39.5,57.95
0.655,42.81,50.65,5.07
0.691,12.83,39.07,3.08
2.311,30.71,31.01,55.25
2.071,8.26,14.95,5.38
1.009,55.51,29.27,11.73
2.114,4.27,15.01,57.91
2.702,58.42,3.29,2.35
1.537,15.35,18.83,44.25
1.104,27.17,34.24,47.7
2.536,10.63,46.72,6.97
1.795,34.75,10.69,51.17
1.017,44.63,46.67,9.42
1.226,13.93,23.93,43.56
1.458,22.28,10.73,2.88
0.999,54.66,58.62,8.17
2.779,21.68,30.16,39.02
1.476,16.49,28.43,0.1
2.62,2.12,36.92,16.63
2.321,14.07,26.39,7.43
2.182,32.58,8.48,18.6
1.971,13.62,54.54,54.71
0.906,46.88,19.84,2.86
2.701,43.85,43.53,56.43
2.893,4.64,39.88,7.58
2.231,47.79,25.08,34.57
2.108,53.06,25.78,56.18
1.478,46.7,10.3,12.53
2.643,54.44,40.49,57.17
0.897,52.64,55.37,16.71
2.906,27.43,24.8,28.15
2.611,53.42,25.92,56.55
1.679,33.25,45.24,40.95
0.304,52.01,55.95,8.07
1.251,12.28,59.07,57.95
1.208,45.71,14.72,14.76
2.863,7.47,8.18,52.33
1.685,7.04,15.83,57.02
0.333,6.98,39.62,9.22
1.72,56.24,13.7,1.95
1.975,58.92,14.29,6.15
2.677,46.07,42.82,45.19
0.222,47.07,58.52,25.69
2.859,32.71,13.98,52.32
2.102,3.08,0.46,43.89
0.782,19.56,50.42,22.65
2.728,3.97,38.77,26.08
2.08,20.59,47.92,2.0
1.607,29.13,48.47,14.0
2.607,1.63,20.29,12.4
0.963,37.08,7.39,26.75
0.773,37.82,43.02,8.7
0.746,41.3,34.07,29.8
0.303,15.8,46.77,18.84
0.286,1.18,13.5,29.76
0.957,56.67,44.28,23.73
1.197,6.8,38.91,59.36
1.55,42.32,25.74,41.64
2.107,46.2,56.59,23.1
2.005,45.69,5.87,12.93
1.843,7.51,44.51,1.14
2.898,15.48,19.01,52.19
0.775,22.11,17.4,4.44
1.178,31.3,24.78,10.54
0.352,19.47,45.44,45.7
2.971,32.55,36.44,12.27
2.545,19.11,9.83,47.91
0.122,29.8,46.56,41.78
1.269,27.61,35.28,38.43
2.906,54.81,36.31,47.4
0.44,53.8,59.46,10.72
2.618,18.22,12.55,46.04
1.286,31.54,49.5,10.76
0.769,38.21,48.32,43.61
0.259,48.39,36.7,9.52
1.627,54.61,9.75,35.37
1.061,14.48,45.8,45.18
2.544,56.91,45.78,35.02
0.711,4.19,52.51,48.82
1.672,29.98,44.57,0.27
2.572,46.93,4.71,48.87
0.848,33.43,22.54,18.15
0.868,44.79,52.81,28.6
0.692,43.62,36.92,40.64
1.706,15.44,21.14,38.4
1.241,6.68,31.3,28.13
0.325,22.34,23.53,4.53
0.502,4.38,57.36,58.27
2.173,48.95,15.82,42.92
0.143,31.65,15.52,33.64
0.384,49.44,5.14,47.53
0.756,6.04,26.29,58.26
1.232,0.94,20.47,6.27
1.731,55.41,13.4,47.56
1.952,43.21,45.59,40.75
0.406,10.71,7.83,17.32
1.664,2.15,18.5,54.83
1.81,20.84,1.33,58.45
0.733,42.61,48.49,34.96
2.739,46.93,5.87,8.29
2.748,13.14,13.91,27.8
2.953,57.16,5.24,11.98
1.808,55.16,30.48,51.19
2.179,39.01,59.24,49.93
2.267,37.14,27.22,58.08
1.589,20.8,1.16,35.05
2.689,8.09,29.13,10.87
2.923,59.69,25.98,43.41
0.982,13.66,0.28,14.77
0.216,58.75,56.64,37.8
1.894,54.65,45.1,59.75
0.95,37.26,42.86,18.35
1.805,29.99,55.7,7.81
1.665,41.26,24.71,48.28
2.1,9.89,40.93,35.29
1.974,9.66,26.17,11.39
1.766,55.13,25.38,51.83
0.698,18.56,12.37,40.69
2.128,48.58,34.0,12.48
0.502,43.28,59.02,5.83
1.705,25.33,40.26,51.39
1.164,45.93,55.33,2.82
0.235,12.84,45.04,35.86
0.484,16.28,18.73,12.69
0.483,18.17,42.21,56.13
0.776,44.52,50.9,27.72
1.445,39.33,53.28,40.94
0.072,5.48,35.93,25.12
0.205,7.84,40.08,24.63
1.301,33.98,41.83,29.78
1.064,29.97,27.5,53.32
1.612,7.7,30.34,12.87
0.266,57.81,41.2,30.7
2.526,41.9,30.02,4.93
1.745,45.19,0.15,7.42
2.78,36.54,43.33,18.02
1.936,18.1,39.05,8.3
1.126,12.27,23.48,24.98
0.245,58.73,3.7,41.07
2.848,43.48,16.51,25.25
1.053,42.14,40.16,17.29
0.658,10.24,35.98,55.47
1.888,18.07,7.34,30.15
2.518,1.56,46.74,10.66
1.969,7.39,44.75,50.11
1.35,44.41,4.89,5.41
1.244,4.62,8.45,44.8
0.766,15.67,30.24,49.25
0.313,31.97,55.76,20.81
0.645,32.59,34.7,0.87
1.081,10.51,59.33,7.57
1.808,54.03,59.82,35.83
1.402,5.23,21.69,52.74
1.225,30.21,57.61,12.2
0.838,7.39,36.27,11.19
0.549,11.25,16.24,38.44
0.037,28.3,19.22,18.95
1.236,51.27,54.71,40.02
2.832,54.18,25.21,1.13
1.828,34.98,14.65,2.83
1.164,52.43,27.58,36.02
0.59,4.33,22.43,31.74
0.375,34.21,41.05,16.71
2.671,39.73,44.8,19.56
0.731,22.83,36.59,0.38
1.521,32.72,28.6,47.24
1.565,43.7,27.64,39.91
0.86,2.46,21.09,12.18
2.215,7.27,15.02,26.16
2.718,6.41,6.89,17.14
0.846,2.21,27.05,19.2
1.944,4.82,15.66,6.42
0.441,18.34,33.71,56.26
1.386,39.4,54.76,45.92
0.619,3.13,29.46,47.91
0.516,41.3,16.55,51.55
0.446,49.3,5.01,16.11
1.628,42.96,39.91,5.21
2.97,3.35,52.7,6.27
0.686,50.87,55.59,42.2
2.833,19.99,50.44,14.29
1.551,18.82,27.88,8.21
1.6,52.44,6.05,13.02
2.582,45.29,25.22,13.92
1.978,47.49,2.61,32.78
1.604,59.97,50.76,14.4
2.138,53.62,8.27,43.84
0.911,33.63,20.35,37.98
0.6,4.44,18.73,43.12
1.729,30.54,29.98,52.29
0.243,36.18,43.84,16.66
2.929,14.72,50.02,35.23
0.246,35.48,16.45,4.61
2.631,27.27,47.73,25.96
1.458,21.63,51.63,40.7
0.122,12.87,15.09,6.14
2.081,14.15,18.76,23.76
1.226,55.56,0.06,12.39
1.187,28.52,28.49,34.41
1.09,56.3,10.42,45.07
1.298,0.25,36.12,15.73
1.789,11.49,49.69,15.86
2.962,11.55,51.47,53.16
0.305,25.21,39.94,26.17
1.205,40.33,15.38,14.31
1.372,24.02,30.79,28.82
2.798,7.8,10.54,48.17
2.861,41.9,3.0,9.55
1.789,45.42,8.79,29.41
0.289,25.09,2.61,5.18
0.868,45.53,31.94,12.75
2.502,48.97,52.14,57.07
1.829,31.61,46.39,6.08
1.69,57.32,12.51,35.91
1.527,30.63,53.93,1.62
1.642,52.33,58.59,16.92
2.917,41.48,15.91,34.87
0.936,14.87,26.45,22.27
1.267,28.14,32.5,5.09
1.49,34.67,8.63,46.07
2.85,9.62,46.88,28.08
1.338,40.14,20.33,36.3
0.251,48.74,59.46,7.71
2.807,45.68,36.0,18.75
0.359,50.48,51.86,57.01
2.121,21.72,8.63,55.33
1.498,13.94,28.3,19.29
1.694,55.43,28.43,12.12
0.151,22.89,53.65,27.37
0.331,9.27,5.99,21.84
1.119,41.85,46.46,51.05
0.767,36.28,14.59,5.31
0.721,59.97,45.86,30.46
2.935,40.53,51.16,50.4
0.325,6.88,4.76,25.35
0.175,32.46,5.35,18.67
0.502,16.98,11.84,3.89
2.754,6.26,30.21,8.12
2.905,58.26,26.89,17.17
1.901,46.28,29.92,10.97
0.244,49.28,56.0,10.86
0.339,23.54,19.18,15.21
0.638,44.53,25.04,45.13
1.252,12.15,10.28,5.42
2.042,35.5,24.25,23.58
1.84,10.26,28.58,50.44
1.429,7.28,19.14,9.74
2.325,28.79,15.92,37.24
2.482,34.4,44.08,3.26
2.315,47.19,20.71,42.74
0.228,56.59,37.44,55.31
1.463,47.01,5.9,49.33
2.3,50.18,37.82,53.16
0.906,18.68,21.14,51.75
2.403,13.78,4.56,20.33
2.666,44.21,9.11,38.17
0.466,37.78,48.92,1.67
0.14,6.39,55.48,26.35
2.946,1.0,37.71,37.85
1.264,15.17,8.2,12.07
2.926,49.73,13.59,34.69
0.527,32.71,12.3,36.84
1.313,2.06,46.19,3.54
2.697,34.73,6.18,54.5
0.556,36.98,40.88,21.53
0.653,24.91,51.52,45.01
0.446,59.06,16.29,52.82
1.383,43.99,52.08,29.96
2.764,43.58,15.53,28.41
1.798,32.12,54.49,15.42
0.363,25.29,29.27,1.43
0.102,26.67,42.62,9.76
0.973,20.07,58.41,53.97
0.212,33.43,57.53,50.75
2.883,51.04,6.73,38.12
0.263,2.69,29.77,32.03
0.017,11.96,24.89,56.12
1.409,47.89,3.81,6.03
2.121,33.92,2.66,38.54
0.403,31.39,6.22,40.71
1.422,34.89,2.29,42.63
0.609,5.91,43.52,55.71
0.027,48.07,11.14,4.8
0.561,18.38,36.28,32.56
1.462,8.85,38.91,1.1
2.07,46.29,40.62,11.29
0.19,47.42,45.31,31.41
0.671,44.04,55.76,35.06
2.524,38.77,46.12,39.7
2.023,47.18,10.15,12.05
2.681,28.28,37.77,11.45
1.905,11.49,4.47,34.07
1.45,19.58,56.85,59.66
1.835,57.29,44.23,14.09
2.361,20.88,40.13,0.65
2.958,59.56,3.77,56.47
2.892,7.11,44.59,48.1
0.289,19.4,30.46,10.74
2.647,14.43,35.82,54.69
0.995,32.86,40.94,57.94
0.799,15.4,27.41,43.83
0.344,33.47,55.27,43.47
0.998,55.8,15.67,5.54
1.262,20.45,54.77,34.41
0.341,20.78,11.36,20.37
0.354,56.98,23.93,9.9
1.675,30.76,22.21,49.14
1.097,9.85,54.33,24.76
0.669,17.65,26.16,30.07
0.268,39.69,43.57,44.73
0.325,18.1,20.97,44.45
2.526,1.4,18.12,56.04
1.0,35.95,1.57,7.88
2.807,24.43,25.71,31.45
0.576,2.87,35.66,14.72
1.464,40.87,17.39,5.51
0.309,23.02,58.3,32.39
0.745,42.0,32.78,47.64
2.272,48.06,43.73,25.97
0.343,29.14,26.55,59.7
2.726,27.29,13.19,7.02
1.753,37.69,57.16,39.25
1.501,27.43,38.63,46.89
0.389,49.31,0.87,28.83
2.414,54.12,13.84,51.03
2.567,51.23,34.76,56.94
1.145,44.36,43.01,46.78
2.69,13.7,43.0,47.35
1.544,25.68,0.59,49.94
0.405,57.92,1.3,48.75
0.862,1.61,29.88,46.87
1.636,48.69,22.02,46.71
2.932,16.78,17.29,15.37
0.789,17.14,36.79,5.89
2.624,42.76,42.9,13.78
0.51,48.41,32.6,58.06
2.25,8.29,7.27,56.43
1.969,1.38,5.49,9.2
0.854,13.45,54.81,57.67
2.757,38.97,25.83,43.16
2.114,5.66,14.69,39.54
0.679,38.94,16.86,29.42
0.188,56.88,58.87,15.58
0.124,8.37,13.98,28.06
2.288,21.89,42.64,21.49
0.025,54.56,57.43,20.07
0.649,54.06,43.73,10.49
0.537,36.09,11.77,15.48
2.433,12.29,4.12,28.43
0.503,0.1,51.01,51.04
2.48,30.47,1.29,16.55
2.629,18.31,17.98,54.6
1.316,58.0,41.37,10.56
2.894,1.39,57.8,37.0
0.754,35.37,3.46,58.62
0.933,7.35,44.87,30.21
1.687,22.29,9.05,13.54
0.902,38.28,48.32,32.65
1.766,55.58,21.3,40.35
1.635,35.27,47.32,20.67
1.468,29.89,24.37,34.86
1.296,54.46,13.26,49.35
2.041,51.41,3.66,37.5
0.437,33.94,19.56,50.88
1.516,42.61,42.6,21.26
1.531,16.18,26.11,16.69
0.177,9.56,5.47,50.97
0.794,38.2,29.47,29.41
1.384,36.58,17.59,48.98
2.061,21.52,51.71,26.5
1.074,10.7,40.89,17.69
0.539,57.7,4.03,14.13
1.741,14.46,9.64,38.05
0.034,15.62,46.42,58.51
0.844,50.02,35.66,39.27
0.007,0.4,31.99,10.32
1.747,28.94,11.5,25.99
2.039,44.77,3.92,12.94
1.816,44.38,43.46,32.0
0.886,12.65,49.61,11.07
1.655,23.26,4.34,30.49
1.773,50.33,47.61,15.91
2.615,53.28,0.77,52.61
1.071,21.37,2.8,5.24
1.727,48.45,7.43,30.59
0.473,52.8,21.18,10.59
2.295,28.44,22.22,49.97
1.373,11.64,24.56,43.69
1.126,20.48,19.88,43.33
0.399,8.39,59.86,52.04
0.388,34.66,35.17,23.42
0.891,17.77,32.11,26.24
2.369,1.69,16.26,16.81
0.293,41.65,41.19,39.03
1.519,11.47,25.17,19.71
2.503,14.37,6.61,18.12
0.133,56.51,44.72,58.77
0.111,15.17,41.87,56.4
1.84,48.0,31.22,11.02
2.901,13.97,27.66,19.42
0.549,16.41,18.51,32.56
2.687,11.08,38.62,18.52
2.595,26.6,19.48,45.19
0.673,40.16,17.94,55.46
0.553,21.35,53.59,24.06
0.113,8.9,5.55,51.6
2.159,49.12,15.28,27.9
1.598,19.29,30.84,3.95
0.947,21.92,59.5,26.85
2.353,48.66,26.47,30.06
2.177,26.05,2.75,59.29
2.688,14.52,36.51,41.82
1.904,44.56,56.37,45.63
2.244,16.12,52.05,43.74
1.415,47.6,46.9,25.99
0.74,31.0,26.24,30.66
1.686,26.04,32.39,3.04
0.017,20.2,35.66,26.62
0.073,50.58,8.85,35.41
1.035,15.57,10.81,27.32
0.952,6.76,8.09,31.08
0.331,16.27,1.68,18.4
2.416,32.61,49.7,23.72
1.639,4.13,23.37,16.22
2.941,42.02,35.84,49.69
2.994,1.42,59.71,26.97
1.984,33.93,7.66,10.34
0.257,33.86,49.35,28.78
0.06,57.48,4.9,41.84
2.637,8.04,55.06,47.84
0.093,3.62,43.47,55.73
2.901,49.64,29.78,51.53
0.995,0.33,54.48,33.91
1.245,26.97,54.45,50.16
0.41,16.26,26.55,38.29
1.732,31.57,55.92,12.23
0.794,49.58,54.41,7.16
2.635,9.16,41.22,28.81
2.654,4.49,20.76,6.35
2.561,48.01,42.3,41.89
1.999,0.23,37.45,13.17
2.172,26.45,26.56,50.33
2.341,41.33,24.69,20.9
1.594,7.9,46.46,38.12
0.681,0.63,3.28,23.6
1.063,20.81,58.07,20.3
1.912,11.07,12.2,7.65
1.029,32.12,19.82,30.85
0.496,10.83,22.66,56.78
0.38,1.7,39.99,36.8
0.929,44.31,18.22,25.98
1.271,8.17,53.36,3.13
2.682,59.23,37.57,52.51
1.554,54.06,39.93,51.31
0.161,13.67,32.35,15.08
2.383,11.29,29.06,35.59
2.897,46.96,47.43,25.02
1.963,10.61,59.11,41.13
2.8,0.51,35.21,36.7
1.651,35.07,1.97,22.01
1.737,20.88,17.9,14.24
2.475,0.11,0.96,13.36
1.597,32.6,8.69,23.54
2.439,6.69,6.3,16.87
2.032,28.01,3.23,34.87
1.934,10.98,9.39,51.72
2.527,48.08,20.02,44.74
2.288,25.66,21.66,23.79
2.886,10.53,47.66,45.05
1.248,55.96,12.87,36.25
0.221,4.49,48.1,3.68
1.377,20.67,6.83,10.73
1.452,47.03,31.04,43.83
2.271,59.17,25.19,27.6
1.657,5.85,56.37,57.66
2.729,49.9,8.99,44.74
2.448,49.37,32.52,24.89
1.935,25.24,3.92,24.43
2.453,14.51,22.81,3.51
2.599,37.56,41.55,15.1
0.337,25.13,44.92,12.35
1.313,19.56,18.74,32.17
2.835,14.91,37.71,41.99
1.75,34.11,53.32,44.53
2.951,44.85,44.41,1.04
1.272,43.08,10.34,40.36
0.417,51.03,26.36,33.28
1.469,38.76,5.09,17.29
0.837,28.15,5.52,57.45
0.417,32.33,46.74,0.77
1.386,6.2,11.23,42.96
0.017,7.62,22.11,29.83
0.151,54.95,28.68,27.14
1.407,21.54,10.66,3.43
0.843,31.58,39.02,11.53
1.855,2.26,40.73,15.74
0.889,41.87,2.45,27.73
1.137,35.47,41.17,39.96
1.54,47.49,44.33,10.54
2.941,12.77,19.99,19.06
2.291,44.64,27.87,19.47
1.616,24.22,4.72,54.76
0.422,21.14,48.74,31.89
0.446,49.65,38.47,20.9
1.569,24.4,8.84,24.3
1.588,58.95,43.0,13.87
2.315,43.3,40.35,26.15
1.559,35.34,30.49,53.52
1.207,38.63,36.83,14.0
2.364,38.49,52.46,30.52
1.795,6.91,39.36,7.54
2.343,2.04,15.88,2.41
0.458,5.09,28.93,49.67
0.783,54.86,47.06,55.46
1.524,10.37,55.12,50.64
0.381,36.6,34.49,30.28
0.988,3.96,7.45,25.53
2.151,45.38,45.95,32.01
1.106,27.98,1.9,3.59
2.482,6.77,43.03,33.36
2.725,19.28,8.22,8.9
1.599,35.33,24.86,33.19
0.714,11.66,50.29,4.72
0.823,16.87,13.17,49.14
0.087,41.74,31.08,54.29
0.084,30.38,23.66,9.04
1.752,39.67,29.98,23.6
2.094,27.01,53.54,12.27
1.67,31.98,34.47,3.86
0.409,37.81,58.66,8.55
1.598,12.52,51.2,22.56
1.345,23.94,28.79,56.44
2.221,13.3,15.09,55.74
2.56,58.29,5.92,30.43
1.505,37.63,41.67,24.37
0.332,20.06,55.85,58.95
0.988,57.46,3.87,7.82
1.899,37.13,43.09,11.26
0.331,54.48,24.04,27.1
1.111,16.9,47.72,8.84
1.68,6.24,37.46,46.48
0.726,41.23,16.18,38.41
1.358,47.77,53.33,14.52
1.483,3.74,1.75,36.89
2.04,2.73,3.74,6.71
1.542,22.4,49.64,59.39
1.88,35.16,10.02,45.75
2.005,28.84,38.54,2.52
2.925,34.69,13.14,5.21
1.494,23.95,7.54,35.82
1.298,26.92,36.69,30.27
1.351,25.29,52.36,37.69
0.79,47.13,26.11,50.25
2.383,7.13,30.34,40.01
1.176,5.12,35.24,16.08
2.847,55.32,18.69,18.06
0.928,36.4,59.63,54.6
1.884,12.04,5.84,41.31
1.119,44.53,6.63,48.68
0.236,37.66,24.72,59.42
2.36,33.7,26.81,3.48
1.596,46.58,55.97,11.78
2.137,48.89,59.39,46.41
1.838,18.88,25.86,59.17
2.998,48.18,26.58,5.23
2.184,33.05,13.36,48.17
0.775,51.67,41.82,9.86
0.755,22.14,57.27,18.73
1.415,50.25,31.67,50.27
0.975,12.43,47.9,26.06
2.406,20.0,23.58,1.26
1.926,2.89,32.3,18.62
1.319,18.56,28.43,35.95
0.462,47.7,21.64,24.24
1.439,46.63,13.8,25.44
2.948,11.72,29.92,35.04
0.76,45.36,24.63,55.01
1.928,40.35,30.91,4.87
0.434,32.11,19.47,30.43
1.432,23.79,53.13,25.7
0.044,19.03,9.13,53.31
1.669,33.82,31.7,11.46
1.415,8.86,54.23,5.11
2.943,3.2,12.7,15.2
1.533,19.56,51.08,37.06
2.784,30.26,8.14,14.74
2.713,6.67,52.8,26.62
0.093,2.23,31.26,10.49
2.506,49.8,41.63,6.56
0.795,54.64,29.76,53.07
1.506,23.8,31.56,45.01
2.917,59.93,16.54,32.74
0.296,19.14,42.18,43.82
1.192,48.0,35.75,0.28
0.266,25.78,14.0,52.26
0.511,35.32,48.77,2.85
1.144,33.6,2.18,48.79
1.292,13.4,21.25,43.65
0.998,57.22,51.95,39.1
1.177,52.09,45.87,19.75
1.01,55.88,19.19,17.98
1.789,59.36,52.31,59.38
2.466,36.92,54.51,1.03
1.09,24.79,32.69,15.85
2.849,11.26,7.62,46.35
2.049,26.21,14.74,17.29
2.361,59.22,47.36,24.16
2.98,21.08,14.08,55.7
2.781,20.45,47.57,34.17
0.181,6.03,56.73,10.21
1.317,56.81,35.79,23.48
1.021,37.2,16.22,39.95
2.422,10.6,33.56,56.57
1.328,41.94,20.24,44.58
2.435,8.72,55.33,11.9
0.441,20.66,43.48,38.68
0.354,48.57,17.86,29.16
2.446,8.38,41.87,15.38
0.944,6.68,27.63,15.55
0.565,4.1,6.11,3.28
1.859,52.41,49.12,32.35
0.506,36.59,50.74,1.19
0.623,44.94,35.34,28.1
0.144,59.05,55.89,48.91
2.388,14.13,35.38,24.42
0.199,57.08,24.25,15.31
1.829,7.7,34.84,12.83
1.488,17.74,15.13,23.01
1.508,20.19,14.21,49.72
1.006,46.42,11.44,9.6
0.337,20.98,19.73,43.49
1.403,54.62,17.33,48.02
1.927,58.06,37.24,57.05
1.539,15.1,11.39,46.62
2.48,41.46,43.52,37.71
0.517,21.44,30.78,37.33
2.459,53.9,48.68,57.65
1.797,27.08,26.38,10.08
0.117,3.89,54.08,42.31
2.496,41.62,23.9,35.76
2.055,27.5,0.52,4.26
1.911,31.55,22.02,49.81
2.978,16.38,22.04,0.59
1.102,47.69,9.62,45.72
2.41,26.69,53.26,2.64
0.758,59.93,7.74,3.56
0.754,11.97,7.64,43.71
2.105,52.91,11.44,33.54
0.09,28.43,15.14,18.04
2.882,9.71,37.23,29.05
1.96,30.56,0.66,42.27
1.475,40.79,40.48,50.82
1.913,25.29,29.64,54.39
1.438,36.51,19.29,57.06
2.982,45.5,44.89,4.51
1.968,5.29,51.19,31.89
0.599,30.28,14.17,41.58
2.424,13.01,51.78,47.89
1.064,59.66,29.38,53.0
1.153,44.71,15.24,30.27
2.381,59.08,35.79,21.29
0.522,41.77,27.96,30.03
2.381,20.49,14.28,53.53
1.573,22.79,43.44,20.66
2.795,56.47,57.4,58.8
0.176,32.72,22.23,29.68
0.694,40.85,37.48,1.62
1.163,29.59,58.33,40.2
0.04,37.17,3.87,42.86
2.864,33.45,36.11,34.33
2.2,20.97,35.52,24.26
1.055,14.66,36.56,34.46
2.65,3.67,47.64,8.45
2.638,12.66,40.88,36.21
0.395,19.42,8.52,3.97
2.643,1.63,24.31,46.06
2.173,40.32,15.41,45.22
1.822,26.3,27.8,23.82
2.179,51.61,8.99,48.16
2.083,38.99,13.35,39.41
0.214,22.51,14.59,21.16
1.58,53.89,6.78,54.61
2.282,32.48,52.4,31.52
1.283,10.28,28.59,46.41
2.063,11.5,35.3,51.33
2.508,48.94,2.0,54.76
0.357,4.73,58.68,43.56
1.865,34.73,41.14,12.08
1.195,33.9,49.69,29.13
0.236,43.22,35.13,40.81
1.861,20.73,38.45,46.62
2.651,47.7,52.7,51.92
0.052,9.9,16.26,23.53
0.092,21.59,9.71,16.44
0.921,40.07,57.65,40.97
0.228,1.02,35.92,56.8
1.96,42.56,5.73,39.79
0.254,9.02,42.97,20.84
1.799,42.01,57.45,18.13
2.973,37.58,54.82,6.55
2.276,13.93,37.97,28.85
2.563,59.98,39.01,29.03
0.57,51.18,49.2,11.62
1.251,41.29,35.26,52.34
0.143,25.74,34.9,59.84
1.484,1.17,48.65,28.25
2.638,12.02,5.21,57.49
2.518,10.39,30.53,42.89
0.686,15.44,42.61,51.79
0.758,13.82,4.85,8.6
2.059,10.6,15.82,42.02
1.842,32.99,18.38,9.98
1.185,33.01,48.84,56.66
2.112,58.68,19.18,33.71
0.615,25.2,28.41,26.44
2.353,54.41,30.36,19.77
1.667,5.24,16.59,24.6
1.09,11.4,1.81,26.5
1.007,7.88,5.25,28.9
2.985,53.02,28.0,35.88
0.185,57.56,23.9,37.51
0.783,6.19,9.74,2.18
2.556,50.53,39.98,5.42
0.411,17.86,41.93,57.92
2.797,41.41,41.44,56.78
2.772,42.22,49.17,31.97
0.316,29.79,30.17,51.06
2.867,8.12,38.59,56.79
2.229,19.89,53.73,37.94
2.682,32.2,24.46,39.25
0.261,40.72,35.29,9.74
2.441,9.9,14.1,9.83
1.211,38.79,30.26,8.89
2.86,39.95,2.84,27.04
2.335,48.0,1.67,19.51
2.068,47.55,6.11,51.82
2.213,25.44,34.08,51.52
0.456,50.84,21.88,46.17
0.179,6.61,32.33,48.15
0.14,12.03,7.62,28.55
1.095,49.17,41.56,28.79
1.158,0.62,2.34,33.51
2.24,19.99,43.08,19.19
1.094,14.89,24.5,46.85
1.672,28.2,55.65,58.76
1.318,45.75,40.71,37.17
0.983,36.81,52.42,2.75
2.531,19.88,45.37,0.85
1.102,1.53,57.8,54.8
1.09,37.75,27.48,0.32
2.701,27.54,50.34,59.99
0.936,43.12,43.74,18.05
1.425,43.84,42.5,40.48
0.883,55.22,52.16,29.59
2.671,15.23,24.87,2.98
1.677,37.79,32.92,27.25
2.773,51.36,10.91,17.57
2.256,6.79,13.74,4.34
2.474,19.59,27.16,51.77
0.161,37.91,12.51,10.49
0.478,9.23,22.38,6.66
0.333,15.96,12.5,40.07
0.08,15.41,49.11,53.6
0.093,20.51,54.56,7.92
2.098,51.7,42.12,16.54
2.622,6.98,21.36,51.85
2.701,40.56,14.23,45.34
2.792,9.79,34.47,42.41
0.306,58.93,13.17,9.23
2.842,45.19,41.88,27.18
1.269,54.24,45.43,18.18
0.058,13.33,17.34,43.04
0.9,52.08,16.17,51.19
1.311,35.96,35.14,28.08
1.135,0.86,26.88,26.21
2.954,24.8,2.5,28.07
1.954,21.28,50.02,3.71
2.457,12.6,6.46,57.97
2.48,47.39,52.5,37.03
1.288,26.8,45.13,1.22
1.597,52.83,17.69,16.38
0.133,25.9,0.89,11.71
1.39,48.48,28.53,54.42
1.116,59.1,2.99,56.41
0.787,50.8,1.79,6.71
1.759,11.48,24.97,33.62
2.375,59.08,16.73,35.84
2.796,50.65,52.94,35.52
2.752,33.58,40.11,50.15
1.633,17.51,45.22,20.22
2.062,46.46,0.28,33.96
0.33,34.29,16.29,22.16
1.88,20.71,8.61,19.68
2.585,11.12,18.02,43.73
2.19,57.56,19.32,55.91
2.199,42.58,39.98,48.05
1.878,58.78,0.13,22.56
0.742,34.15,41.16,27.24
1.271,5.39,46.44,33.84
2.476,6.28,55.76,13.29
2.059,33.42,20.04,35.93
2.257,59.3,58.29,54.08
1.566,44.43,54.33,3.17
2.141,51.85,55.14,39.91
2.565,41.13,58.59,45.56
0.198,44.43,52.44,16.3
0.682,36.03,16.01,35.87
0.817,30.64,20.45,52.88
0.543,21.35,48.38,33.5
2.311,19.94,24.82,40.82
1.848,33.0,23.83,44.3
1.343,5.82,14.94,1.49
1.383,6.05,20.29,1.01
2.435,32.62,51.77,47.89
2.301,58.43,10.65,55.27
0.764,53.12,2.96,3.91
0.788,17.58,50.45,22.83
0.943,21.27,2.15,4.44
1.985,12.66,42.95,1.38
1.651,32.06,34.72,19.71
0.693,37.37,5.58,32.48
0.536,59.47,17.1,15.83
2.681,1.46,40.87,59.62
2.647,21.98,11.58,11.0
1.85,4.83,36.76,55.2
1.66,56.63,43.65,36.38
1.383,7.52,53.45,53.17
0.628,34.48,54.45,44.55
0.089,56.63,58.12,11.15
0.083,15.32,23.05,17.47
1.997,9.31,48.89,18.97
1.225,14.3,52.59,27.31
2.462,7.82,46.52,21.02
0.575,31.92,2.79,51.58
1.225,45.38,20.03,32.99
1.133,52.82,53.89,44.02
2.157,24.73,35.03,35.32
2.577,4.31,39.82,56.01
1.295,23.0,12.77,42.6
2.995,26.83,43.52,8.81
